pilka,pi'a,pil
pilno,pli
pimlu,pi'u,pim
pindi,pid
pinfu,pif
pinka,pik
pinsi,pis
pinta,pin
pinxe,pix
pipno,pi'o
pixra,xra,pir
platu,pla
pleji,le'i,lej
plibu,pib
plipe,pip,pi'e
plita,pit
plixa,lix
pluja,luj
pluka,pu'a,puk
pluta,lut,lu'a
polje,plo
polno,pol
ponjo,pon,po'o
ponse,po'e,pos
porpi,pop,po'i
porsi,poi,por
porto,pot
prali,pal
prami,pa'i,pam
prane,pa'e
preja,pe'a,pej
prenu,pre
preti,rei,ret
prije,pij
prina,pri
prosa,ros,ro'a
pruce,ruc,ru'e
pruni,pun
pruxi,ru'i,rux
pu'i,pus
pu'u,puv
pulce,puc,pu'e
punji,puj,pu'i
punli,pul
*pupsu,pup
purci,pru,pur
purdi,pud
purmo,pu'o,pum
radno,ra'o
rafsi,raf
ragve,rav
raktu,ra'u
ralci,rac
ralju,ral
ralte,ra'e
randa,rad
rango,rag
ranji,ra'i
ranmi,ram
ranti,ran
ranxi,rax
rapli,rap
rarna,rar
ratni,rat
re,rel
rebla,reb
rectu,rec,re'u
remna,rem,re'a
renro,rer,re'o
renvi,re'i,rev
respa,res
*rexsa,rex
ricfu,rif,cfu
rigni,rig
rijno,rij
rilti,ril
rimni,rim
rinju,ri'u
rinka,ri'a,rik
rirni,rir
rirxe,ri'e
rismi,ris
ritli,ri'i
rivbi,riv
ro,rol
roi,rom,roi
rokci,rok,ro'i
romge,rog
ropno,ron,ro'o
rorci,ror
rotsu,tsu,ro'u,rot
rozgu,roz,zgu
ruble,ble,rub
rufsu,ruf
runme,rum
rupnu,ru'u,rup
rusko,ru'o,ruk
rutni,run
sabji,sab
sadjo,djo
sakci,sak
sakli,sal
sakta,sat
salci,sla
salpo,sa'o
sampu,sap
sance,sna
sanga,sag,sa'a
sanji,saj
sanli,sa'i
sanmi,sai
sarcu,sa'u
sarji,sra
sarxe,sax
saske,ske
satre,sa'e
savru,sav,vru
sazri,saz
se,sel
sefta,sfe
selci,sle
selfu,se'u,sef
semto,sme
senci,sec
senpi,sen
senta,set
senva,sev,sne
sepli,sei,sep
serti,ser
setca,se'a
sevzi,se'i,sez
sfasa,sfa
sfofa,sfo
sfubu,sub,su'u
si'o,siz
siclu,sil
sicni,si'i
sidbo,sib,si'o
sidju,dju
sigja,sig
silka,sik
simlu,mlu
simsa,smi
simxu,si'u,sim
sinma,si'a
sinxa,sni
sipna,sip
sirji,sir
sirxo,six
sisku,sis
sisti,sti
sitna,sit
sivni,siv
skami,sam
skapi,kap
skari,ska
skicu,ski
skiji,sij
skina,kin
skori,sko
skoto,kot,ko'o
skuro,ku'o
slabu,sau
slari,sar
slasi,las
sligu,lig
slilu,sli
slovo,lov,lo'o
sluji,slu
smaji,sma
smoka,smo
smuci,muc
smuni,smu,mun
*smusu,sus
snada,sad
snanu,nan
snidu,nid
snime,si'e
snipa,nip
snuji,nuj
snura,nur,nu'a
snuti,nut
so,soz
so'a,soj
so'e,sop
so'i,sor,so'i
so'o,sos
so'u,sot
sobde,so'e,sob
sodva,sod
softo,sof
solji,slo
solri,sol
sombo,so'o,som
sonci,soi,son
sorcu,sro,soc
sorgu,sog
sovda,sov,so'a
spaji,paj
spano,san
spati,spa
speni,spe
spisa,spi
spofu,pof,po'u
spoja,po'a,poj
spuda,spu
sputu,pu'u,put
sraji,raj
sraku,rak
srana,ra'a
srasu,sas
srera,sre
sruma,ru'a
sruri,sru,rur
stace,sac
staku,tak
stali,sta
stapa,tap
steba,seb
steci,tec,te'i
stedu,sed
stela,tel
stero,te'o
stici,sic
stidi,sid,ti'i
stika,tik
stizu,tiz
stodi,sto
stuna,sun
stura,su'a,tur
stuzi,stu,tuz
su'e,su'e,sup
su'o,suz,su'o
su'u,suv
sucta,suc
sudga,sud
sufti,sfu
suksa,suk
sumji,suj
sumti,sum,su'i
sunga,sug
sunla,sul
surla,sur
sutra,sut
ta,taz
tabno,tab
tadni,tad
tagji,tag
talsa,tal
tamji,taj
tanbo,ta'o
tance,tac
tanru,tau
tansi,tas
tanxe,ta'e,tax
tarci,tar
tarmi,tam,tai
tarti,tra
tatpi,ta'i
tatru,tat
tavla,tav,ta'a
taxfu,taf,ta'u
tcaci,cac
tcadu,tca
tcena,ten
tcica,tic
tcidu,tid
tcila,til
tcima,tim,ti'a
te,ter
temci,tem,tei
*tende,te'e
tenfa,tef
tengu,teg,te'u
terdi,ted
terpa,tep,te'a
terto,tet
ti,tif
tigni,tig
tikpa,tip
tilju,tij
tinbe,tib
tirna,tin
tirse,tir
tisna,tis
titla,tit
tivni,tiv
tixnu,ti'u,tix
*to'ai,toz
to'e,tol,to'e
toknu,tok
toldi,tod
tonga,to'a,tog
tordu,tor,to'u
torni,to'i,ton
traji,rai
trene,ren,re'e
tricu,ric
trina,tri
trixe,rix,ti'e
troci,toi,toc
tsali,tsa
tsani,tan
tsiju,tsi
tsina,sin
tu,tuf
tubnu,tu'u
tugni,tu'i,tug
tujli,tuj
tumla,tu'a,tum
tunba,tub
tunka,tuk
tunlo,tu'o,tul
tunta,tun
tuple,tup,tu'e
turni,tru
tutci,tci
tutra,tut
va,vaz
vacri,var
vajni,vai,vaj
valsi,vla,val
vamji,vam,va'i
vamtu,vat
vanbi,vab
vanci,vac
vanju,van
vasru,vau,vas
vasxu,vax,va'u
ve,vel
ve'e,ve'e
vecnu,ven,ve'u
*vedli,ve'i
venfu,vef
vensa,ves
verba,ver,ve'a
vi,viz
vibna,vib
vidru,vir
vifne,vif
vikmi,vi'i,vim
viknu,vik
vimcu,vi'u,vic
vindu,vid
vinji,vij
vipsi,vip
virnu,vri
viska,vis,vi'a
vitci,vit
vitke,vi'e
vitno,vi'o
vlagi,lag
vlile,vil
vlipa,vli
vo,von
*vo'ai,voz
vofli,vol,voi
voksa,vok,vo'a
vorme,vro,vor
vraga,vra
vreji,vei,rej
vreta,vre
vrude,vu'e,vud
vrusi,vu'i,vus
vu,vuz
*vubla,vul
*vujnu,vu'u,vuj
vukro,vu'o,vur
xa,xav
xabju,xa'u
xadba,xab
xadni,xad
xajmi,xam
xaksu,xak
xalka,xal
xamgu,xau,xag
xampo,xa'o,xap
xamsi,xas
xance,xan,xa'e
xanri,xar
xarci,xa'i,xac
xarju,xaj
xatra,xa'a
xatsi,xat
xazdo,zdo,xaz
xe,xel
xebni,xei,xen
xebro,bro,xeb
xecto,cto,xet
xedja,xej,xe'a
xekri,xek,xe'i
xelso,xes
xendo,xed,xe'o
xenru,xe'u,xer
xexso,xex
*xigzo,xig
xindo,xin
xinmo,xim
xirma,xir,xi'a
xislu,xi'u,xil
xispo,xip
xlali,xla
xlura,xlu
*xo'ai,xoz
*xo'ei,xon
xotli,xol,xoi
xrabo,rab
xrani,xai
xriso,xi'o,xis
xruba,xub
xruki,xuk
xrula,rul
xruti,xru
xukmi,xu'i,xum
*xulta,xut
xunre,xu'e,xun
xurdo,xu'o,xur
xusra,xus,xu'a
xutla,xul
za'i,zaz
za'o,za'o
zabna,zan,za'a
*zai'e,zam
zajba,zaj
zalvi,zal
zanru,zar,zau
zarci,zai,zac
zargu,za'u,zag
zasni,zas
zasti,za'i,zat
zbabu,bab
zbasu,zba
zbepi,zbe
zdani,zda
zdile,zdi
ze,zel
ze'e,ze'e
ze'o,ze'o,zev
zekri,zer,zei
zenba,zen,ze'a
zepti,zep
zetro,zet
zgana,zga
zgike,zgi,gi'e
*zi'ai,zam
zi'o,zil
zifre,zif,zi'e
zinki,zin,zi'i
zirpu,zir,zi'u
zivle,vle,ziv
zmadu,zma,mau
zmiku,zmi
zo'a,zo'a,zon
zo'i,zor,zo'i
zu'o,zum
*zucna,zu'a,zuc
zukte,zu'e,zuk
zumri,zmu
zungi,zug
zunle,zul
zunti,zun,zu'i
zutse,zut,tse
zvati,zva
*zviki,zvi
